name|surname|role_type|linkedin_url|twitter_handle|biography|location|birth_year|education|previous_experience|specialization|reputation_score
Ilyich|Vismara|CTO|https://www.linkedin.com/in/ilyich-vismara/|||||||CTO|
Dorian|Mercatante|CEO|https://www.linkedin.com/in/dorian-mercatante/|||||||CEO|
Manolo|Battista|COO|https://www.linkedin.com/in/manolo-battista/|||||||COO|
Silvio|Bonomi|Founder|https://www.linkedin.com/in/silviobonomi/|||||||Founder|
Vincenzo|Schifano|Co-Founder & COO|https://www.linkedin.com/in/schifanovincenzo/|||||||Co-Founder & COO|
Mattia|Salvi|Co-Founder & CEO|https://www.linkedin.com/in/mattia-salvi/|||||||Co-Founder & CEO|
Leonardo|Persico|Co-Founder & Tech Director|https://www.linkedin.com/in/leonardo-persico/|||||||Co-Founder & Tech Director|
Francesco|Froni|Co-Founder|https://www.linkedin.com/in/francesco-froni-3270641b7/|||||||Co-Founder|
Giacomo|Rossi|Co-Founder|https://www.linkedin.com/in/giacomorossi-a142b8236/|||||||Co-Founder|
Alfredo|Ceci|Co-Founder|https://www.linkedin.com/in/alfredo-ceci-2069491bb/|||||||Co-Founder|
Ferruccio|Tasca|Fo-Founder & CEO|https://www.linkedin.com/in/filiberto-ferruccio-tasca/|||||||Fo-Founder & CEO|
Jacopo|Pertile|Co-Founder|https://www.linkedin.com/in/jacopopertile/|||||||Co-Founder|
Carlo|Pasqualetto|Co-Founder & CEO|https://www.linkedin.com/in/carlo-pasqualetto/|||||||Co-Founder & CEO|
Roberto|Nicastro|Co-Founder|https://www.linkedin.com/in/rnicastro8848/|||||||Co-Founder|
Federico|Sforza|Co-Founder & CEO|https://www.linkedin.com/in/federico-sforza-686b5/|||||||Co-Founder & CEO|
Massimiliano|Carraro|Co-Founder|https://www.linkedin.com/in/massimiliano-carraro/|||||||Co-Founder|
Stefania|Malfatti|Co-Founder & CEO|https://www.linkedin.com/in/malfattistefania/|||||||Co-Founder & CEO|
Alessandra|Ureche|Founder|https://www.linkedin.com/in/alessandra-ureche/|||||||Founder|
Andrea|Maranelli|Co-Founder & CEO|https://www.linkedin.com/in/andrea-maranelli-74885911b/|||||||Co-Founder & CEO|
Fabio|Wibmer|Co-Founder|https://www.linkedin.com/in/wibmerfabio/|||||||Co-Founder|
Nikolai|Holder|Co-Founder|https://www.linkedin.com/in/nikolai-holder-64b9531b1/|||||||Co-Founder|
Giorgio|Ennas|CEO|https://www.linkedin.com/in/giorgio-ennas/|||||||CEO|
Giovanni|Antonio Zappatore|Co-Founder & CEO|https://www.linkedin.com/in/giovanni-zappatore/|||||||Co-Founder & CEO|
Federico|Gaetani|Co-Founder & CTO|https://www.linkedin.com/in/federico-gaetani/|||||||Co-Founder & CTO|
Matteo|Aventaggiato|Co-Founder & COO|https://www.linkedin.com/in/matteo-aventaggiato/|||||||Co-Founder & COO|
Emanuele|Cipriani|Co-Founder|https://www.linkedin.com/in/emanuele-cipriani-bb675a102/|||||||Co-Founder|
Giovanni|Scansani|Co-Founder|https://www.linkedin.com/in/giovanni-scansani-65478b122/|||||||Co-Founder|
Fabrizio|Pinci|Co-Founder|https://www.linkedin.com/in/fabriziopinci/|||||||Co-Founder|
Giovanni|Pizza|Co-Founder & CEO|https://www.linkedin.com/in/giovannipizza/|||||||Co-Founder & CEO|
Marta|Basso|Co-Founder & CEO|https://www.linkedin.com/in/martabassof/|||||||Co-Founder & CEO|
Emanuele|Bartolesi|Co-Founder & CTO|https://www.linkedin.com/in/bartolesiemanuele/|||||||Co-Founder & CTO|
Luca|Cozzarini|Co-Founder|https://www.linkedin.com/in/luca-cozzarini/|||||||Co-Founder|
Stefano|Cortese|Co-Founder & CTO|https://www.linkedin.com/in/cortese-stefano/|||||||Co-Founder & CTO|
Stefano|Manzoni|Co-Founder & COO|https://www.linkedin.com/in/stefano-manzoni/|||||||Co-Founder & COO|
Giovanni|Ciferri|Co-Founder & CEO|https://www.linkedin.com/in/giovanniciferri/|||||||Co-Founder & CEO|
Stefano|Tazio|Co-Founder|https://www.linkedin.com/in/stefanotazio/|||||||Co-Founder|
Riccardo|Pirlea|Co-Founder|https://www.linkedin.com/in/riccardopirlea/|||||||Co-Founder|
Cristian|Nozzi|Founder & CTO|https://www.linkedin.com/in/cristian-n-a70272150/|||||||Founder & CTO|
Claudio|Cardinale|Co-Founder & CTO|https://www.linkedin.com/in/claudio-cardinale/|||||||Co-Founder & CTO|
Alessio|Mazzalupi|Co-Founder|https://www.linkedin.com/in/alessio-mazzalupi/|||||||Co-Founder|
Riccardo|Valobra|Co-Founder|https://www.linkedin.com/in/riccardo-valobra-590060193/|||||||Co-Founder|
Fabrizio|Maiocco|Co-Founder|https://www.linkedin.com/in/fabrizio-maiocco-8b09571b/|||||||Co-Founder|
Juri|Cinti|Co-Founder|https://www.linkedin.com/in/juricinti/|||||||Co-Founder|
Enrico|Gramaglia|Co-Founder|https://www.linkedin.com/in/enrico-gramaglia-910757264/|||||||Co-Founder|
Paolo|De Giglio|CEO|https://www.linkedin.com/in/paolo-de-giglio/|||||||CEO|
Marco|Agnoletto|Co-Founder|https://www.linkedin.com/in/marco-agnoletto-1b0a15b2/|||||||Co-Founder|
Anna|Vinci|Co-Founder|https://www.linkedin.com/in/annavinci/|||||||Co-Founder|
Alessio|Pracchia|CTO|https://www.linkedin.com/in/alessio-pracchia/|||||||CTO|
Simona|Calugi|Co-Founder|https://www.linkedin.com/in/simona-calugi-b243b4166/|||||||Co-Founder|
Andreea|Popa|Account Manager|https://www.linkedin.com/in/andreea-popa-07705522a/|||||||Account Manager|
Nadir|Papini|Co-Founder|https://www.linkedin.com/in/papininadir/|||||||Co-Founder|
Francesco|Leinardi|Software Engineer|https://www.linkedin.com/in/francescoleinardi/|||||||Software Engineer|
