person_name|person_surname|startup_name|role|founding_date|equity_percentage|is_current|exit_date
Rodolfo|Paolo Graziani|My Wine Sommelier|Co-Founder|2025||True|
Riccardo|Suardi|Nibol|Founder & CEO|2019||True|
Nicholas|Croci|NotOnlyDesk|Co-Founder|2022||True|
Luca|De Ciechi|NotOnlyDesk|Co-Founder|2022||True|
Federico|Visintini|olivia|Co-Founder & CTO|2022||True|
Francesco|Tansella|olivia|Co-Founder & CEO|2022||True|
Paolo|Ceffa|olivia|Co-Founder|2022||True|
Maurizio|Piredda|Optivo Logistics|Co-Founder & CFO|2022||True|
Giuseppe|Vaccaro|Optivo Logistics|Co-Founder|2022||True|
Gabriele|Gangemi|Optivo Logistics|Co-Founder & CEO|2022||True|
Luigi|Pederzani|Orango AI|Co-Founder|2025||True|
Giacomo|Gentili|Pack|Co-Founder & CPO|2022||True|
Francesco|Trovato|Paperbox Health|Co-Founder & CEO|2022||True|
Giacomo|Pratesi|Paperbox Health|Co-Founder & CTO|2022||True|
Mario|Moschetta|Pathway|Co-Founder & CMO|2024||True|
Pierluigi|Amati|Pathway|Co-Founder & CTO|2024||True|
Luigi|Di Marcantonio|Pathway|Co-Founder & COO|2024||True|
William|Lattanzi|Pathway|Co-Founder & CEO|2024||True|
Ferdinando|Volpe|PeloMatto|Co-Founder & COO|2023||True|
William|Selmo|PeloMatto|Co-Founder & CEO|2023||True|
Tobia|Piovesan|Perpethua|Founder|2024||True|
Giorgio|Mortini|Pick-Roll|Co-Founder|2018||True|
Francesco|Pinna|Pick-Roll|CTO & Co-Founder|2018||True|
Dario|Ferretti|Pick-Roll|CEO & Co-Founder|2018||True|
Riccardo|Momigliano|Piece|Co-Founder|2023||True|
Kentaro|Sohara|Piece|Co-Founder|2023||True|
Loris|Cipollini|Plannest|Co-Founder & COO|2022||True|
Cosimo|Luigi Mattei|Plannest|CEO|2022||True|
Luca|Lixi|Plannix|Co-Founder & CEO|2023||True|
Gian|Mario Bisogno|Plannix|Co-Founder & Product Designer|2023||True|
Gabriele|Concli|Plannix|Co-Founder & Product Engineer|2023||True|
Dario|Pedruzzi|Plannix|Co-Founder & CTO|2023||True|
Simone|Tabellini|play2match|Co-Founder|2025||True|
Iacopo|Livia|play2match|Co-Founder|2025||True|
Giacomo|Mantini|play2match|Co-Founder|2025||True|
Pietro|Galimberti|Plino|CEO & Co-Founder|2023||True|
Enrico|Castelli|Plino|CTO & Co-Founder|2023||True|
Viola|Bonesu|Plino|COO & Co-Founder|2023||True|
Nicola|Comelli|Point-out|Co-Founder|2022||True|
Filippo|Benetti|Point-out|Co-Founder & CTO|2022||True|
Fabio|Era|Point-out|Co-Founder|2022||True|
Marco|Agostini|Poleepo|Co-Founder & CEO|2022||True|
Marco|Cerquozzi|Poleepo|Co-Founder|2022||True|
Sandro|Borella|Pratiche Auto Online|Co-Founder|2021||True|
Edoardo|Guglielmini|Pratiche Auto Online|Co-Founder & CEO|2021||True|
Riccardo|Basso|pratico.it|Co-Founder & CPO|2022||True|
Francesco|Musso|pratico.it|Co-Founder & CTO|2022||True|
Davide|Fenati|pratico.it|Co-Founder & CEO|2022||True|
Claudine|Rollandin|promama|Founder|2023||True|
Tommaso|Poliero|Proteso|Co-Founder|2022||True|
Matteo|Sposito|Proteso|Co-Founder|2022||True|
Stefano|Toxiri|Proteso|Co-Founder & CEO|2022||True|
Lorenzo|Diaco|Publytics|CEO|2023||True|
Ciro|Esposito|Publytics|CFO|2023||True|
Gianluca|Cocco|Qomodo|Founder|2023||True|
Gaetano|de Maio|Qomodo|Founder|2023||True|
Annalisa|Volpe|QSENSATO|Co-Founder|2024||True|
Ruan|Viljoen|QSENSATO|R&D Scientist|2024||True|
Vincenzo|Tamborra|QSENSATO|Prototyping & Project Manager|2024||True|
Gianvito|Lucivero|QSENSATO|Co-Founder & CEO|2024||True|
Domenico|Tulli|QSENSATO|Co-Founder & CTO|2024||True|
Francesco|Sessa|Qubitdata|CEO|2024||True|
Jacopo|Piana|Quick Algorithm|Founder & CEO|2018||True|
Gianluca|Tirri|Quickfisco|Co-Founder & Managing Director|2022||True|
Stefano|Moi|Quickfisco|CTO|2022||True|
Tommaso|Mariotti|Recivu|COO & Co-Founder|2023||True|
Dariush|Haghighi Tajvar|Recivu|CEO & Co-Founder|2023||True|
Riccardo|Leonardi|ReLearn|Co-Founder & CEO|2021||True|
Fabrizio|Custorella|ReLearn|Co-Founder & CFO|2021||True|
Federico|Fedi|ReLearn|Co-Founder & CTO|2021||True|
Giovanni|Lucifora|ReLearn|Co-Founder|2021||True|
Egidio|Canzoniere|ReLearn|Co-Founder|2021||True|
Simone|Cavariani|ReLearn|Co-Founder & CPO|2021||True|
Andrea|Pesaresi|Replate|Co-Founder and CTO|2023||True|
Filippo|Cavallari|Replate|Co-Founder|2023||True|
Samuele|Berni|Replate|Co-Founder|2023||True|
Luca|Rinaldi|Replate|Co Founder and CEO|2023||True|
Tommaso|Farneti|Replate|Co-Founder|2023||True|
Anass|Tai|Reset|Co-Founder|2023||True|
Arianna|Dani|Restworld|Co-Founder & COO|2020||True|
Davide|Lombardi|Restworld|Co-Founder & COO|2020||True|
Edoardo|Conte|Restworld|Co-Founder & CTO|2020||True|
Lorenzo|D'Angelo|Restworld|Co-Founder & CFO|2020||True|
Luca|Lotterio|Restworld|Co-Founder & CEO|2020||True|
Jacopo|Zenzeri|ReWing|Co-Founder & CEO|2022||True|
Amel|Cherif|ReWing|Co-Founder & CTO|2022||True|
Maddalena|Mugnosso|ReWing|Co-Founder & COO|2022||True|
Vincenzo|Sorice|Rhesus|Co-Founder|2024||True|
Mauro|Fontanarosa|Rhesus|Co-Founder|2024||True|
Lucia|Pia De Mizio|Rhesus|Co-Founder|2024||True|
Boris|Zamparano|Rhesus|Co-Founder|2024||True|
Chiara|Schettino|Rosso|Co-Founder & CEO|2022||True|
Filippo|Toni|Rosso|Co-Founder & COO|2022||True|
Leonardo|Parmeggiani|Safety on Chain|Co-Founder|2023||True|
Stefano|De La Torre|Safety on Chain|CEO|2023||True|
Federico|Giannotti|Safety on Chain|CTO|2023||True|
Gabriele|Mascaro|Safety on Chain|Co-Founder|2023||True|
Dario|Brignone|Satispay|Co-Founder & CTO|2013||True|
Alberto|Dalmasso|Satispay|Co-Founder & CEO|2013||True|
Samuele|Pinta|Satispay|Co-Founder & CFO|2013||True|
Giacomo|Maggiore|SceneSnap|Co-Founder|2024||True|
Luca|Cordioli|SceneSnap|Co-Founder & CTO|2024||True|
Nicolás|Avelar|SceneSnap|Co-Founder & CEO|2024||True|
Filippo| Maretti|SceneSnap|Software Engineer|2024||True|
Marco|Vinciguerra|ScrapeGraphAI|Co-Founder|2024||True|
Lorenzo|Padoan|ScrapeGraphAI|Co-Founder|2024||True|
Silvia|Wang|Serenis|Co-Founder & CEO|2021||True|
Daniele|Francescon|Serenis|Co-Founder|2021||True|
Lorenzo|Liguori|Sibill|Co-Founder|2020||True|
Mattia|Montepara|Sibill|Co-Founder & CEO|2020||True|
Dario|Prencipe|Sibill|Co-Founder|2020||True|
Mattia|Barbarossa|Sidereus Space Dynamics|Founder & CEO|2019||True|
Nicolò|Fugallo|SimpL|Founder|2022||True|
Andrea|Codini|Sintropy.ai|CEO & Co-Founder|2025||True|
Luca|Savastano|Sintropy.ai|CDO & Co-Founder|2025||True|
Piertobia|Laporta|Sintropy.ai|COO & Co-Founder|2025||True|
Karim|Kassem|Sintropy.ai|CTO & Co-Founder|2025||True|
Edoardo|Imparato|Small Giants|Co-Founder|2020||True|
Francesco|Majno|Small Giants|Co-Founder|2020||True|
Ann|LoCicero|smartFAB|Founder & CEO|2018||True|
Alessia|Cacaveri|smartFAB|CMO|2018||True|
Alessandra|Pennuto|smartFAB|COO|2018||True|
Eugenio|Bancaro|Smartness|Co-Founder & CTO|2021||True|
Tommaso|Centonze|Smartness|Co-Founder|2021||True|
Eugenio|Bancaro|Smartness|Co-Founder & CTO|2021||True|
Luca|Rodella|Smartness|Co-Founder & CEO|2021||True|
Tommaso|Centonze|Smartness|Co-Founder|2021||True|
Luca|Rodella|Smartness|Co-Founder & CEO|2021||True|
Enrico|De Cupertinis|Solion|Co-Founder & CCO|2020||True|
Raimondo|Lapillo|Solion|Co-Founder & CEO|2020||True|
Alessio|Zandegù|Solo Studenti|Business Developer|2024||True|
Nazareno|Mario Ciccarello|Soource|COO|2024||True|
Maicol|Verzotto|Soource|CEO|2024||True|
Cosimo|Franco|Spoki|CTO|2021||True|
Giorgio|Pagliara|Spoki|CEO|2021||True|
Giordano|Brachini|SPRNV|Founder|2021||True|
Valentina|Palazzo|Stakeshare|CEO & Co-Founder|2024||True|
Hoang|Huynh|Stakeshare|Co-Founder|2024||True|
Davide|Bodini|Stema|Co-Founder|2022||True|
Matteo|Gambera|Stema|Co-Founder|2022||True|
Vito|Lomele|Stema|Co-Founder|2022||True|
Matteo|Trovò|StepsConnect|Co-Founder & CEO|2022||True|
Anton|Morale|StepsConnect|Co-Founder & CTO|2022||True|
Nicolò|Caruzzo|StepsConnect|Co-Founder & COO|2022||True|
Edoardo|Vallebella|Stip AI|Co-Founder & CEO|2017||True|
Amir|Salama|Stip AI|Co-Founder & CTO|2017||True|
Fabrizio|Aiello|Stip AI|Co-Founder & COO|2017||True|
Roberto|Solari|StrategyX|Software Developer|2024||True|
Silvia|De Carlo|StrategyX|Head of Design|2024||True|
Giuseppe|Cela|StrategyX|Founder|2024||True|
Samuele|Caputo|StrategyX|Web Developer|2024||True|
Gabriele|Salvi|StudyBuddy|CEO|2023||True|
Alessio| Gandelli|StudyBuddy|CTO|2023||True|
Filippo|Rocca|Subbyx|Co-Founder  &  CEO|2023||True|
Ferruccio|Ferruzzi|Subbyx|Co-Founder  &  CBO|2023||True|
Francesco| Durighetto|Subbyx|Co-Founder  &  Chief R&D Officer|2023||True|
Federica|Rossi|Subbyx|Co-Founder  &  CPO|2023||True|
Fabrizio|Chiara|SUNSPEKER|Founder & CEO|2019||True|
Francesco|Laffi|Switcho|Co-Founder & CTO|2019||True|
Marco|Tricarico|Switcho|Co-Founder & CEO|2019||True|
Redi|Vyshka|Switcho|Co-Founder|2019||True|
Rosilari|Bellacosa|SynDiag|Co-Founder & CTO|2017||True|
Federica|Gerace|SynDiag|Co-Founder|2017||True|
Daniele|Conti|SynDiag|Co-Founder & CEO|2017||True|
Antonio|Picozzi|Takyon|CEO & Co-Founder|2022||True|
Niccolò|Francesco Marino|Takyon|C*O & Co-Founder|2022||True|
Vincenzo|Bonaccorso|Takyon|CTO & Co-Founder|2022||True|
Fabrizio|Lallo|TechCompenso|Founder|2023||True|
Edvaldo|G.|TextYess|Co-Founder & CTO|2023||True|
Riccardo|Russo|TextYess|Co-Founder & CEO|2023||True|
